"B11016_001E","B11016_001M","B11016_002E","B11016_002M","B11016_003E","B11016_003M","B11016_004E","B11016_004M","B11016_005E","B11016_005M","B11016_006E","B11016_006M","B11016_007E","B11016_007M","B11016_008E","B11016_008M","B11016_009E","B11016_009M","B11016_010E","B11016_010M","B11016_011E","B11016_011M","B11016_012E","B11016_012M","B11016_013E","B11016_013M","B11016_014E","B11016_014M","B11016_015E","B11016_015M","B11016_016E","B11016_016M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Family households","Margin of Error!!Total!!Family households","Estimate!!Total!!Family households!!2-person household","Margin of Error!!Total!!Family households!!2-person household","Estimate!!Total!!Family households!!3-person household","Margin of Error!!Total!!Family households!!3-person household","Estimate!!Total!!Family households!!4-person household","Margin of Error!!Total!!Family households!!4-person household","Estimate!!Total!!Family households!!5-person household","Margin of Error!!Total!!Family households!!5-person household","Estimate!!Total!!Family households!!6-person household","Margin of Error!!Total!!Family households!!6-person household","Estimate!!Total!!Family households!!7-or-more person household","Margin of Error!!Total!!Family households!!7-or-more person household","Estimate!!Total!!Nonfamily households","Margin of Error!!Total!!Nonfamily households","Estimate!!Total!!Nonfamily households!!1-person household","Margin of Error!!Total!!Nonfamily households!!1-person household","Estimate!!Total!!Nonfamily households!!2-person household","Margin of Error!!Total!!Nonfamily households!!2-person household","Estimate!!Total!!Nonfamily households!!3-person household","Margin of Error!!Total!!Nonfamily households!!3-person household","Estimate!!Total!!Nonfamily households!!4-person household","Margin of Error!!Total!!Nonfamily households!!4-person household","Estimate!!Total!!Nonfamily households!!5-person household","Margin of Error!!Total!!Nonfamily households!!5-person household","Estimate!!Total!!Nonfamily households!!6-person household","Margin of Error!!Total!!Nonfamily households!!6-person household","Estimate!!Total!!Nonfamily households!!7-or-more person household","Margin of Error!!Total!!Nonfamily households!!7-or-more person household","id","Geographic Area Name"
"470","95","428","95","106","74","104","71","130","74","72","49","16","27","0","12","42","39","42","39","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276056013","Block Group 3, Census Tract 6056.01, Howard County, Maryland"
"427","94","295","86","71","53","134","74","43","48","0","12","47","60","0","12","132","47","132","47","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276056014","Block Group 4, Census Tract 6056.01, Howard County, Maryland"
"669","133","225","93","157","80","41","48","27","31","0","12","0","12","0","12","444","143","401","139","43","40","0","12","0","12","0","12","0","12","0","12","1500000US240276056021","Block Group 1, Census Tract 6056.02, Howard County, Maryland"
"976","112","752","129","336","115","188","69","169","76","59","52","0","12","0","12","224","78","182","76","29","34","0","12","13","21","0","12","0","12","0","12","1500000US240276056022","Block Group 2, Census Tract 6056.02, Howard County, Maryland"
"487","81","402","83","258","95","58","48","68","51","0","12","0","12","18","29","85","51","85","51","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276056023","Block Group 3, Census Tract 6056.02, Howard County, Maryland"
"694","97","583","102","174","77","148","96","168","71","59","57","34","37","0","12","111","63","99","62","12","18","0","12","0","12","0","12","0","12","0","12","1500000US240276056024","Block Group 4, Census Tract 6056.02, Howard County, Maryland"
"565","70","443","70","155","46","94","57","125","64","56","46","13","19","0","12","122","61","100","55","22","28","0","12","0","12","0","12","0","12","0","12","1500000US240276066011","Block Group 1, Census Tract 6066.01, Howard County, Maryland"
"449","59","366","62","153","48","74","44","82","43","43","41","5","8","9","15","83","41","75","39","0","12","8","14","0","12","0","12","0","12","0","12","1500000US240276066012","Block Group 2, Census Tract 6066.01, Howard County, Maryland"
"1036","161","649","163","232","102","83","62","140","105","154","102","19","33","21","35","387","167","279","150","94","77","14","23","0","12","0","12","0","12","0","12","1500000US240276066031","Block Group 1, Census Tract 6066.03, Howard County, Maryland"
"569","132","343","108","102","64","82","46","99","85","60","56","0","12","0","12","226","113","226","113","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276066032","Block Group 2, Census Tract 6066.03, Howard County, Maryland"
"506","117","392","115","170","75","163","104","59","49","0","12","0","12","0","12","114","86","66","60","24","40","24","40","0","12","0","12","0","12","0","12","1500000US240276066033","Block Group 3, Census Tract 6066.03, Howard County, Maryland"
"337","96","211","98","170","104","24","28","0","12","0","12","0","12","17","17","126","62","97","58","29","35","0","12","0","12","0","12","0","12","0","12","1500000US240276066034","Block Group 4, Census Tract 6066.03, Howard County, Maryland"
"452","86","421","94","147","74","98","72","71","62","83","74","22","35","0","12","31","35","31","35","0","12","0","12","0","12","0","12","0","12","0","12","1500000US240276066035","Block Group 5, Census Tract 6066.03, Howard County, Maryland"
"772","100","368","95","211","62","63","69","34","24","41","35","9","15","10","14","404","106","305","99","99","68","0","12","0","12","0","12","0","12","0","12","1500000US240276066041","Block Group 1, Census Tract 6066.04, Howard County, Maryland"
"853","91","723","98","295","85","147","72","132","57","121","53","28","29","0","12","130","62","84","56","46","32","0","12","0","12","0","12","0","12","0","12","1500000US240276066042","Block Group 2, Census Tract 6066.04, Howard County, Maryland"
"938","127","478","119","236","92","122","78","65","49","55","69","0","12","0","12","460","118","390","115","70","52","0","12","0","12","0","12","0","12","0","12","1500000US240276066061","Block Group 1, Census Tract 6066.06, Howard County, Maryland"
"1056","101","687","95","307","91","160","70","128","51","82","51","10","15","0","12","369","99","274","98","95","61","0","12","0","12","0","12","0","12","0","12","1500000US240276066062","Block Group 2, Census Tract 6066.06, Howard County, Maryland"
"802","75","672","87","202","59","204","82","134","76","90","54","0","12","42","52","130","61","90","50","40","37","0","12","0","12","0","12","0","12","0","12","1500000US240276066071","Block Group 1, Census Tract 6066.07, Howard County, Maryland"
"793","82","543","111","200","76","220","72","48","52","34","51","6","14","35","42","250","73","178","72","40","32","32","29","0","12","0","12","0","12","0","12","1500000US240276066072","Block Group 2, Census Tract 6066.07, Howard County, Maryland"
"496","42","416","48","182","41","121","45","63","38","41","25","9","8","0","12","80","32","74","30","6","10","0","12","0","12","0","12","0","12","0","12","1500000US240276067011","Block Group 1, Census Tract 6067.01, Howard County, Maryland"
