"B20017_001E","B20017_001M","B20017_002E","B20017_002M","B20017_003E","B20017_003M","B20017_004E","B20017_004M","B20017_005E","B20017_005M","B20017_006E","B20017_006M","B20017_007E","B20017_007M","GEO_ID","NAME"
"Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Male --!!Total (dollars)!!Other (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Worked full-time, year-round in the past 12 months (dollars)","Estimate!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","Margin of Error!!Median earnings in the past 12 months (in 2019 inflation-adjusted dollars) --!!Total (dollars):!!Female --!!Total (dollars)!!Other (dollars)","id","Geographic Area Name"
"80819","18163","90833","42528","112500","53962","2,500-","***","69821","22583","87000","25553","-","**","1500000US240317035022","Block Group 2, Census Tract 7035.02, Montgomery County, Maryland"
"54840","15777","53547","1879","63056","25093","-","**","67125","13105","77426","11773","15972","12949","1500000US240317036011","Block Group 1, Census Tract 7036.01, Montgomery County, Maryland"
"41645","31769","-","**","88000","25194","-","**","39549","19628","78750","46684","-","**","1500000US240317036012","Block Group 2, Census Tract 7036.01, Montgomery County, Maryland"
"31585","18145","50368","41983","62292","35190","21010","986","28881","2448","-","**","19688","13702","1500000US240317036013","Block Group 3, Census Tract 7036.01, Montgomery County, Maryland"
"64787","9305","76176","19936","87321","20542","-","**","57353","10688","64571","18175","12500","6058","1500000US240317036021","Block Group 1, Census Tract 7036.02, Montgomery County, Maryland"
"63478","10080","64306","21566","77361","24389","-","**","63277","20531","81875","34000","33281","31174","1500000US240317036022","Block Group 2, Census Tract 7036.02, Montgomery County, Maryland"
"57132","14908","67813","25146","69688","27747","-","**","42031","30557","-","**","-","**","1500000US240317036023","Block Group 3, Census Tract 7036.02, Montgomery County, Maryland"
"27391","9774","44018","10930","44330","12269","-","**","16413","8002","-","**","14553","3553","1500000US240317037011","Block Group 1, Census Tract 7037.01, Montgomery County, Maryland"
"34556","7042","33347","19193","49063","5496","18500","5781","35625","11278","42031","13157","21215","16021","1500000US240317037012","Block Group 2, Census Tract 7037.01, Montgomery County, Maryland"
"29983","9888","32566","16045","43083","9414","14288","3266","24310","11513","35606","17722","12800","4333","1500000US240317037013","Block Group 3, Census Tract 7037.01, Montgomery County, Maryland"
"30691","1893","31743","1323","40027","5868","23500","20542","25517","4601","59048","15295","17303","7050","1500000US240317037021","Block Group 1, Census Tract 7037.02, Montgomery County, Maryland"
"37976","15320","38810","15847","41726","29165","4040","1362","-","**","-","**","21250","15779","1500000US240317037022","Block Group 2, Census Tract 7037.02, Montgomery County, Maryland"
"39412","31837","-","**","75511","40279","7703","3065","39485","31972","61797","15362","3625","1915","1500000US240317037023","Block Group 3, Census Tract 7037.02, Montgomery County, Maryland"
