"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002EA","B25004_002M","B25004_002MA","B25004_003E","B25004_003EA","B25004_003M","B25004_003MA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006EA","B25004_006M","B25004_006MA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!For rent","Annotation of Estimate!!Total!!For rent","Margin of Error!!Total!!For rent","Annotation of Margin of Error!!Total!!For rent","Estimate!!Total!!Rented, not occupied","Annotation of Estimate!!Total!!Rented, not occupied","Margin of Error!!Total!!Rented, not occupied","Annotation of Margin of Error!!Total!!Rented, not occupied","Estimate!!Total!!For sale only","Margin of Error!!Total!!For sale only","Annotation of Margin of Error!!Total!!For sale only","Annotation of Estimate!!Total!!For sale only","Estimate!!Total!!Sold, not occupied","Margin of Error!!Total!!Sold, not occupied","Annotation of Margin of Error!!Total!!Sold, not occupied","Annotation of Estimate!!Total!!Sold, not occupied","Estimate!!Total!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total!!For seasonal, recreational, or occasional use","Margin of Error!!Total!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total!!For seasonal, recreational, or occasional use","Estimate!!Total!!For migrant workers","Margin of Error!!Total!!For migrant workers","Annotation of Margin of Error!!Total!!For migrant workers","Annotation of Estimate!!Total!!For migrant workers","Estimate!!Total!!Other vacant","Margin of Error!!Total!!Other vacant","Annotation of Margin of Error!!Total!!Other vacant","Annotation of Estimate!!Total!!Other vacant",
"1500000US240037013001","Block Group 1, Census Tract 7013, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037013002","Block Group 2, Census Tract 7013, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037013003","Block Group 3, Census Tract 7013, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037013004","Block Group 4, Census Tract 7013, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037014001","Block Group 1, Census Tract 7014, Anne Arundel County, Maryland","32","50","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","32","null","50","null","0","12","null","null","0","12","null","null",
"1500000US240037014002","Block Group 2, Census Tract 7014, Anne Arundel County, Maryland","40","38","null","null","0","null","12","null","0","null","12","null","24","32","null","null","0","12","null","null","0","null","12","null","0","12","null","null","16","25","null","null",
"1500000US240037021001","Block Group 1, Census Tract 7021, Anne Arundel County, Maryland","100","110","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","100","110","null","null",
"1500000US240037021002","Block Group 2, Census Tract 7021, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037021003","Block Group 3, Census Tract 7021, Anne Arundel County, Maryland","104","101","null","null","0","null","12","null","0","null","12","null","49","79","null","null","0","12","null","null","16","null","25","null","0","12","null","null","39","62","null","null",
"1500000US240037021004","Block Group 4, Census Tract 7021, Anne Arundel County, Maryland","42","68","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","42","null","68","null","0","12","null","null","0","12","null","null",
"1500000US240037021005","Block Group 5, Census Tract 7021, Anne Arundel County, Maryland","19","29","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","19","null","29","null","0","12","null","null","0","12","null","null",
"1500000US240037022041","Block Group 1, Census Tract 7022.04, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022042","Block Group 2, Census Tract 7022.04, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022051","Block Group 1, Census Tract 7022.05, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022052","Block Group 2, Census Tract 7022.05, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022053","Block Group 3, Census Tract 7022.05, Anne Arundel County, Maryland","35","55","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","35","55","null","null",
"1500000US240037022061","Block Group 1, Census Tract 7022.06, Anne Arundel County, Maryland","53","78","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","53","78","null","null",
"1500000US240037022062","Block Group 2, Census Tract 7022.06, Anne Arundel County, Maryland","37","40","null","null","0","null","12","null","0","null","12","null","37","40","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022063","Block Group 3, Census Tract 7022.06, Anne Arundel County, Maryland","33","59","null","null","0","null","12","null","0","null","12","null","33","59","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022081","Block Group 1, Census Tract 7022.08, Anne Arundel County, Maryland","92","97","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","92","97","null","null",
"1500000US240037022082","Block Group 2, Census Tract 7022.08, Anne Arundel County, Maryland","41","64","null","null","0","null","12","null","0","null","12","null","41","64","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022091","Block Group 1, Census Tract 7022.09, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022092","Block Group 2, Census Tract 7022.09, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037022093","Block Group 3, Census Tract 7022.09, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
"1500000US240037023001","Block Group 1, Census Tract 7023, Anne Arundel County, Maryland","0","12","null","null","0","null","12","null","0","null","12","null","0","12","null","null","0","12","null","null","0","null","12","null","0","12","null","null","0","12","null","null",
